samp_id,project_code,coord_y,coord_x,datetime,samp_wdepth_cm,samp_notes,tp_mgkg,m3_p_mgkg,m3_fe_mgkg,m3_al_mgkg,spsc_mgkg,wex_po4_mgkg,soil_primary_flag,soil_primary_flag_details
D00044,FORB,41.21725,-84.67235,8/5/2021,NA,Taken about 1 m into start of water,253.09,15.922,839.944,437.605,80.818,NA,0,NA
D00045,FORB,41.21755,-84.67281,8/5/2021,NA,Taken about 1 m into the pool,281.666,18.002,509.403,471.554,64.338,NA,0,NA
D00046,FORB,41.21755,-84.67281,8/5/2021,NA,Taken about 1 m on from edge of pool,380.213,36.578,1875.687,652.144,142.131,NA,1,m3_fe_mgkg_RNG_flag
D00047,FORB,41.21793,-84.67312,8/5/2021,NA,NA,505.864,20.328,662.468,66.843,24.019,NA,0,NA
D00048,FORB,41.21793,-84.67312,8/5/2021,NA,"Oil residue can be seen on pool, 2 small dead trees laying within the pool",247.181,7.384,387.159,131.261,29.119,NA,0,NA
D00049,FORB,41.21823,-84.67347,8/5/2021,NA,"Water looks like it has been retracted about 2 ft, there is 1 large dead tree in the middle of the pool and the soil is firm",514.196,20.244,657.977,521.764,76.086,NA,1,tn_mgkg_RNG_flag
D00050,FORB,41.21823,-84.67347,8/5/2021,NA,"No oily film can be seen on this pool, not a ton of vegetation within the pool but plenty in the surrounding area",182.689,11.244,316.094,296.633,40.312,NA,0,NA
D00051,FORB,41.22116,-84.67024,8/5/2021,NA,This pool is filled with tall plants but they are spaced out enough to where there is plenty of room to sample the water,77.116,10.091,178.587,341.157,38.965,NA,0,NA
D00052,FORB,41.22119,-84.67066,8/5/2021,NA,This pool was filled with tall vegetation and had very little water at the time we sampled,413.734,34.952,460.705,563.844,55.289,NA,0,NA
D00053,FORB,41.22111,-84.67107,8/5/2021,NA,"This pool was also filled with tall vegetation and was more filled with water than B but the edges were not filled to where water had previously been, there is a similar brown moss to other wetland pools in the treatment wetland series",193.354,2.425,61.701,316.44,37.323,NA,0,NA
D00054,FORB,41.22199,-84.67193,8/5/2021,NA,NA,279.874,13.667,218.42,2.098,-1.335,NA,1,m3_al_mgkg_RNG_flag
D00055,FORB,41.2201,-84.67281,8/5/2021,NA,Filled with vegetation that is about shoulder high,290.763,7.479,615.562,320.471,63.392,NA,0,NA
D00056,FORB,41.22035,-84.67282,8/5/2021,NA,"There was only a small water pool on the west end of what was supposed to be the wetland, the water was very stirred up and turbid when we got there so it could have been distrurbed by the group sampling before us",143.599,1.608,40.88,353.782,41.274,NA,1,m3_fe_mgkg_RNG_flag
D00057,FORB,41.22024,-84.67281,8/5/2021,NA,There was only a small water pool on the east end of what was supposed to be the wetland pool,89.876,1.642,71.048,273.963,33.746,NA,1,m3_al_mgkg_ATT_flag
D00058,FORB,41.21987,-84.67274,8/5/2021,NA,"This pool was much more filled with water than the others in this complex, it did not have very much vegetation within",164.137,5.961,202.245,249.652,33.898,NA,1,m3_al_mgkg_ATT_flag
D00071,OOPR,41.58086,-83.8674,9/15/2021 15:06,NA,NA,618.195,12.035,2126.66,632.301,178.288,NA,1,m3_fe_mgkg_RNG_flag
D00072,OOPR,41.58027,-83.86789,9/15/2021 15:18,NA,NA,718.021,34.014,3458.256,516.647,216.744,NA,1,m3_fe_mgkg_RNG_flag
D00073,OOPR,41.57959,-83.86819,9/15/2021 15:27,NA,NA,587.667,201.994,328.253,1208.493,-45.07,NA,0,NA
D00074,OOPR,41.57916,-83.86853,9/15/2021 15:38,NA,NA,148.766,17,123.288,594.668,58.102,NA,0,tn_mgkg-below-detection-limit
D00075,OOPR,41.58016,-83.86981,9/15/2021 15:54,NA,NA,371.222,96.539,274.468,947.692,27.464,NA,0,NA
D00076,OOPR,41.57971,-83.87032,9/15/2021 16:05,NA,NA,439.547,94.611,225.591,932.281,24.917,NA,0,NA
D00077,OOPR,41.58038,-83.87148,9/15/2021 16:14,NA,Lighter cooler in this pool than others so far,404.478,156.147,339.009,1307.55,12.745,NA,0,NA
D00078,OOPR,41.57966,-83.87139,9/15/2021 16:24,NA,Dark soil as most other pools,203.234,18.859,110.742,594.089,55.482,NA,0,tn_mgkg-below-detection-limit
D00079,OOPR,41.57948,-83.87156,9/15/2021 16:34,NA,NA,518.028,189.234,396.736,829.764,-72.002,NA,0,NA
D00080,OOPR,41.57878,-83.87139,9/15/2021 16:52,NA,Uncertain pool number,1073.616,170.088,697.61,1642.897,57.158,NA,1,tp_mgkg_RNG_flag
D00081,OOPR,41.57894,-83.87221,9/15/2021 16:59,NA,NA,282.595,103.282,181.949,1520.79,81.399,NA,0,NA
D00082,OOPR,41.57985,-83.87248,9/15/2021 17:14,NA,NA,243.437,11.905,51.525,636.07,63.978,NA,0,NA
D00083,OOPR,41.57985,-83.87248,9/15/2021 17:22,NA,Very soft and deep sediment,529.255,103.237,294.343,805.441,5.534,NA,0,NA
S00005,SJRE,41.51633,-84.70664,6/8/2021,NA,NA,2.518,NA,NA,NA,NA,NA,0,tp_mgkg-below-detection-limit
S00006,SJRE,41.51633,-84.70664,6/8/2021,NA,NA,556.842,NA,NA,NA,NA,NA,1,tn_mgkg_RNG_flag
S00007,SJRE,41.51666,-84.70883,6/16/2021,NA,"Center of wetland C, the only standing water body in the wetland",172.776,58.9,386.731,406.19,9.192,NA,0,NA
S00008,SJRE,41.51666,-84.70883,6/16/2021,NA,West of wetland C,621.088,49.2,321.05,663.812,44.807,NA,0,NA
S00009,SJRE,41.51666,-84.70883,6/16/2021,NA,East of Wetland C,351.896,88.6,185.211,626.778,-6.402,NA,0,NA
S00010,SJRE,41.51666,-84.70883,6/16/2021,NA,East of Wetland C,391.251,47.9,197.892,695.816,42.903,NA,0,NA
S00024,FORB,41.21725,-84.67235,6/8/2021,NA,"Firm, no sink, opening into TW 1",590.123,30.3,137.801,461.299,30.259,NA,0,NA
S00025,FORB,41.21725,-84.67235,6/8/2021,NA,"Firm, very dry, end of TW 1 on north west end",692.717,15,111.307,377.541,34.555,NA,0,NA
S00026,FORB,41.21755,-84.67281,6/8/2021,NA,"Firm, inlet into TW2 at south east end",1354.97,94.8,488.45,683.299,10.676,NA,1,tp_mgkg_ATT_flag
S00027,FORB,41.21755,-84.67281,6/8/2021,NA,Wet and muddy soil between treatments wetlands 2 and 3,536.688,32.5,276.854,704.072,63.691,NA,0,NA
S00028,FORB,41.21793,-84.67312,6/8/2021,NA,Taken at the south east end of TW3,670.228,30.5,193.641,520.63,40.04,NA,0,NA
S00029,FORB,41.21793,-84.67312,6/8/2021,NA,Taken between TW3 and TW4 which was a muddy connection,515.034,5.1,167.779,331.538,42.245,NA,0,NA
S00030,FORB,41.21823,-84.67347,6/8/2021,NA,Upwards between TW3 and TW4 which was firm,621.802,30.2,258.288,540.405,46.176,NA,1,tn_mgkg_RNG_flag
S00031,FORB,41.21823,-84.67347,6/8/2021,NA,"An oil sheen was again noticed in this pool, the sample was taken at the north west end of TW4",699.621,21.9,210.649,610.511,59.858,NA,0,NA
S00032,FORB,41.22141,-84.67227,6/8/2021,NA,"This stream did not have any water, at least not at the south most end of it leading into the treatment pools so we were able to get a soil sample which was heavy with gravel",506.566,7.4,128.2,14.164,1.307,NA,1,m3_al_mgkg_RNG_flag
S00062,OAKW,41.02419,-83.69627,7/30/2021,NA,This was the first soil sample taken 1 ft from edge of pool 1 on the west side. Seemed to be relatively moist. Lots of vegetation in this area.,1661.871,34.225,294.963,632.064,54.673,NA,1,tp_mgkg_RNG_flag
S00063,OAKW,41.02419,-83.69627,7/30/2021,NA,This was a sample for pool 1 as well but taken 2 ft from the pool. Soil appeared more dry,846.198,45.335,233.264,597.684,36.201,NA,0,NA
S00064,OAKW,41.02351,-83.69633,7/30/2021,NA,Taken about 14 m from edge of aurand run,2252.8,16.283,105.624,207.474,13.385,NA,1,tp_mgkg_RNG_flag
S00065,OAKW,41.02325,-83.69491,7/30/2021,NA,"There was no water in this pool but we could tell where it was based on the change in vegetation, it looked like there had been water there at some point",1665.213,34.475,194.422,591.135,44.159,NA,1,tp_mgkg_RNG_flag
S00066,OAKW,41.02402,-83.69473,7/30/2021,NA,"The boundary of the pool is not well defined, the pool has vegetation growing in all areas that are shallow enough, soil sample was taken 3 ft from where water stopped on the southwest corner",787.624,6.194,80.557,250.287,27.002,NA,0,NA
S00067,OAKE,41.02377,-83.68804,7/30/2021,NA,"South end of pool, 5 degrees north facing the center of the pool, soil was relatively moist",682.17,6.652,73.812,192.5,19.536,NA,0,NA
S00068,OAKW,41.02391,-83.68988,7/30/2021,NA,Soil was much harder than in most places. Difficult to get a soil sample. The edges of this pool are still not well defined.,1311.306,10.89,149.932,502.375,55.089,NA,1,tp_mgkg_RNG_flag
S00069,OAKW,41.024,-83.69066,7/30/2021,NA,Start of pool is not clearly defined. Sedge meadow mix seems to be tall. This soil was much softer than p 18,565.724,12.734,104.282,398.044,38.741,NA,0,NA
S00070,OAKE,41.02491,-83.68749,7/30/2021,NA,NA,2842.694,21.265,479.914,445.763,56.482,NA,1,tp_mgkg_ATT_flag
S00071,OAKE,41.02661,-83.68167,7/30/2021,NA,Pool is filled with sedge meadow mix but access is possible and growth is not as high as other pools. Water inundation surrounding the pool was not as bad as other pools,663.861,15.101,283.3,586.429,67.912,NA,0,NA
S00072,OAKE,41.02703,-83.68189,7/30/2021,NA,"We are noticing some scum on the top of this water, it is greenish in color.",625.054,13.174,158.413,388.457,40.196,NA,0,NA
S00073,OAKE,41.02457,-83.68569,7/30/2021,NA,"The edges of this pool have some green scum, water extends past the vegetation about 1 feet.",2153.135,8.231,100.619,347.474,37.234,NA,1,tp_mgkg_ATT_flag
S00074,FORB,41.21725,-84.67235,8/5/2021,NA,Taken about 2 m from start of water,395.731,21.476,174.794,508.534,46.588,NA,0,NA
S00075,FORB,41.21725,-84.67235,8/5/2021,NA,"Extremely dry soil, taken about 2 m from water start",193.727,6.972,166.806,522.13,62.21,NA,0,NA
S00076,FORB,41.21755,-84.67281,8/5/2021,NA,Taken 1 m from pool start on the northeast side,311.491,15.269,167.416,575.746,60.103,NA,0,NA
S00077,FORB,41.21755,-84.67281,8/5/2021,NA,"Soil is extremely hard, sample taken 2 m from start of pool in northeast corner",335.741,27.656,160.706,580.934,47.94,NA,0,NA
S00078,FORB,41.21793,-84.67312,8/5/2021,NA,NA,234.839,9.257,110.239,374.121,39.801,NA,0,NA
S00079,FORB,41.21793,-84.67312,8/5/2021,NA,"Oil residue can be seen on pool, 2 small dead trees laying within the pool",248.241,7.492,134.701,163.273,18.711,NA,0,NA
S00080,FORB,41.21823,-84.67347,8/5/2021,NA,"Water looks like it has been retracted about 2 ft, there is 1 large dead tree in the middle of the pool and the soil is firm",219.39,9.275,202.456,696.508,81.902,NA,0,NA
S00081,FORB,41.21823,-84.67347,8/5/2021,NA,"No oily film can be seen on this pool, not a ton of vegetation within the pool but plenty in the surrounding area",267.951,8.259,147.818,581.392,66.676,NA,0,NA
S00082,FORB,41.22116,-84.67024,8/5/2021,NA,This pool is filled with tall plants but they are spaced out enough to where there is plenty of room to sample the water,273.151,11.677,164.903,535.935,58.985,NA,0,NA
S00083,FORB,41.22119,-84.67066,8/5/2021,NA,This pool was filled with tall vegetation and had very little water at the time we sampled,413.258,45.956,153.508,657.821,38.069,NA,0,NA
S00084,FORB,41.22111,-84.67107,8/5/2021,NA,"This pool was also filled with tall vegetation and was more filled with water than B but the edges were not filled to where water had previously been, there is a similar brown moss to other wetland pools in the treatment wetland series",306.621,23.428,136.231,526.324,44.543,NA,0,NA
S00085,FORB,41.22199,-84.67193,8/5/2021,NA,NA,358.348,42.78,511.1,56.217,-8.032,NA,0,NA
S00086,FORB,41.22199,-84.67193,8/5/2021,NA,NA,88.999,115.381,193.61,30.859,-101.12,NA,1,m3_al_mgkg_RNG_flag
S00087,FORB,41.2201,-84.67281,8/5/2021,NA,Filled with vegetation that is about shoulder high,112.326,4.114,162.657,1001.511,119.878,NA,0,NA
S00088,FORB,41.22035,-84.67282,8/5/2021,NA,"There was only a small water pool on the west end of what was supposed to be the wetland, the water was very stirred up and turbid when we got there so it could have been distrurbed by the group sampling before us",221.596,8.418,367.325,735.851,96.403,NA,0,NA
S00089,FORB,41.22024,-84.67281,8/5/2021,NA,There was only a small water pool on the east end of what was supposed to be the wetland pool,293.838,32.033,228.792,1153.702,113.094,NA,0,NA
S00090,FORB,41.21987,-84.67274,8/5/2021,NA,"This pool was much more filled with water than the others in this complex, it did not have very much vegetation within",275.997,9.949,218.306,1156.508,134.92,NA,0,NA
S00091,SJRE,41.52044,-84.7072,8/13/2021 13:53,NA,Dry area near first puddle after outflow,189.951,3.2,75,535,62,NA,0,NA
S00092,SJRE,41.51974,-84.70732,8/13/2021 14:14,NA,Drier area near sediment sample,868.849,38.9,153,706,51,NA,0,NA
S00093,SJRE,41.51974,-84.70732,8/13/2021 14:19,NA,Dry area near sediment sample,439.75,77.8,235,474,-10,NA,0,NA
S00094,SJRE,41.51974,-84.70732,8/13/2021 14:35,NA,NA,270.347,28.3,161,463,34,NA,0,NA
S00095,SJRE,41.51925,-84.70876,8/13/2021 14:49,NA,NA,422.079,27.9,158,575,47,NA,0,NA
S00096,SJRE,41.51854,-84.70844,8/13/2021 14:58,NA,Just below junction near sediment sample,384.875,15.5,330,509,61,NA,0,NA
S00097,SJRE,41.51666,-84.70883,8/13/2021 15:10,NA,NA,520.709,28.4,97,610,47,NA,0,NA
S00098,SJRE,41.51889,-84.70807,8/13/2021 15:19,NA,Just below outflow,583.791,51.6,408,579,38,NA,0,NA
S00100,SJRE,41.51633,-84.70664,8/13/2021 15:42,NA,Very near outflow,862.603,55.4,541,534,36,NA,0,NA
S00101,SJRE,41.51444,-84.70549,8/13/2021 15:55,NA,Moist soil but no standing water,372.053,11.9,91,554,57,NA,0,NA
S00102,SJRE,41.5138,-84.70666,8/13/2021 16:08,NA,Did not find standing water only moist soil,455.979,7.5,130,418,48,NA,0,NA
S00103,SJRE,41.5138,-84.70666,8/13/2021 16:12,NA,Did not see standing water only moist soil,293.667,41.5,128,551,29,NA,0,NA
S00104,SJRE,41.51666,-84.70883,8/13/2021 16:20,NA,NA,228.865,13.1,88,475,46,NA,0,NA
S00105,SJRE,41.51666,-84.70883,8/13/2021 16:23,NA,NA,366.903,65.7,324,567,17,NA,0,NA
S00106,SJRE,41.51666,-84.70883,8/13/2021 16:25,NA,Found a very small puddle here,374.823,30.1,114,827,71,NA,0,NA
S00107,SJRE,41.51666,-84.70883,8/13/2021 16:28,NA,NA,441.733,25.055,166.217,156.728,2.141,NA,1,m3_al_mgkg_ATT_flag
S00108,SJCO,41.64342,-84.56367,8/19/2021 13:56,NA,Dry no sign it has been recently inundated,220.986,4.673,251.502,804.927,101.667,NA,0,NA
S00109,SJCO,41.64342,-84.56367,8/19/2021 14:02,NA,"Previous sample may not have been in W7, this location is moist and appears to have had standing water recently",372.021,10.885,158.959,724.793,81.132,NA,0,NA
S00110,SJCO,41.64342,-84.56367,8/19/2021 14:08,NA,Some moisture but no sign of much inundation.,574.519,23.26,361.205,678.162,74.598,NA,0,NA
S00111,SJCO,41.64342,-84.56367,8/19/2021 14:15,NA,Low moisture no indication of hardly any inundation but might have been a puddle,524.305,21.478,343.986,626.273,69.469,NA,0,NA
S00112,SJCO,41.64542,-84.56532,8/19/2021 14:34,NA,Slightly moist,406.327,4.168,208.225,549.056,70.398,NA,0,NA
S00113,SJCO,41.64705,-84.56398,8/19/2021 14:37,NA,More moisture here but not inundated,824.195,33.463,325.485,304.868,19.558,NA,0,NA
S00114,SJCO,41.64777,-84.56501,8/19/2021 14:43,NA,Low moisture no inundation,429.699,8.938,255.702,566.492,70.258,NA,0,NA
S00115,SJCO,41.64743,-84.56388,8/19/2021 14:50,NA,Slight moisture no inundation soil crumbles as at other locations at this site,557.603,11.572,292.238,693.26,84.202,NA,0,NA
S00116,SJCO,41.64743,-84.56388,8/19/2021 15:11,NA,Some moisture maybe a puddle area at times,655.203,5.617,634.248,703.069,110.215,NA,0,NA
S00117,SJCO,41.64996,-84.57169,8/19/2021 15:49,NA,Some moisture and appears it may be inundated in past,574.404,4.339,206.137,609.514,77.054,NA,0,NA
S00118,SJCO,41.64969,-84.57132,8/19/2021 15:52,NA,Drier than oxbow area,470.396,4.208,1060.35,196.19,77.015,NA,1,m3_fe_mgkg_ATT_flag
S00119,SJCO,41.64894,-84.57012,8/19/2021 16:04,NA,Dry be little moisture,487.828,2.03,245.447,591.742,79.498,NA,0,NA
S00121,VANO,41.48613,-83.90948,9/3/2021,NA,5-1 cm,643.813,46.725,273.622,185.247,-10.308,NA,0,NA
S00122,VANO,41.48644,-83.90895,9/3/2021,NA,-5 cm,398.123,24.863,191.874,319.678,22.463,NA,0,NA
S00123,VANO,41.48644,-83.90895,9/3/2021,NA,5-1 cm,488.48,24.936,141.471,509.082,41.345,NA,0,NA
S00124,VANO,41.48613,-83.90948,9/3/2021,NA,-5 cm Very sandy,261.269,19.106,112.951,984.572,100.19,NA,0,NA
S00125,VANO,41.48613,-83.90948,9/3/2021,NA,5-1 cm very sandy,548.568,182.455,150.543,745.014,-88.582,NA,0,NA
S00126,VANO,41.48487,-83.90978,9/3/2021,NA,-5 cm,539,188.536,106.672,947.166,-73.883,NA,0,NA
S00127,VANO,41.48487,-83.90978,9/3/2021,NA,5-1 cm,630.66,50.805,244.32,386.054,7.044,NA,0,NA
S00128,VANO,41.48471,-83.90944,9/3/2021,NA,-5 cm,671.345,53.48,223.422,422.348,7.38,NA,0,NA
S00129,VANO,41.48471,-83.90944,9/3/2021,NA,5-1 cm,670.947,101.829,161.745,845.844,4.24,NA,0,NA
S00130,VANO,41.48409,-83.9095,9/3/2021,NA,-5 cm,475.851,43.778,135.568,805.826,56.247,NA,0,NA
S00131,VANO,41.48409,-83.9095,9/3/2021,NA,5-1 cm,644.437,58.525,247.244,769.968,43.566,NA,0,NA
S00132,VANO,41.48425,-83.90989,9/3/2021,NA,-5 cm,352.363,35.1,210.669,759.264,63.737,NA,0,NA
S00133,VANO,41.48425,-83.90989,9/3/2021,NA,5-1 cm,614.145,47.831,238.455,243.405,-6.684,NA,1,spsc_mgkg_ATT_flag
S00134,VANO,41.4821,-83.90947,9/3/2021,NA,-5 cm,414.81,27.703,180.365,211.544,6.57,NA,0,NA
S00135,VANO,41.4821,-83.90947,9/3/2021,NA,5-1 cm,350.147,16.449,333.569,611.057,72.175,NA,0,NA
S00136,VANO,41.4821,-83.90947,9/3/2021,NA,-5 cm,308.33,16.576,303.255,657.053,75.651,NA,0,NA
S00137,VANO,41.4821,-83.90947,9/3/2021,NA,5-1 cm,401.248,16.759,237.76,575.273,62.452,NA,0,NA
S00138,VANO,41.4821,-83.90947,9/3/2021,NA,-5 cm,283.832,11.031,255.635,617.186,73.983,NA,0,NA
S00139,VANO,41.4821,-83.90947,9/3/2021,NA,5-1 cm,370.459,19.428,246.077,630.423,66.576,NA,0,NA
S00140,VANO,41.4821,-83.90947,9/3/2021,NA,-5 cm,335.046,15.027,190.78,767.635,83.67,NA,0,NA
S00141,VANO,41.4821,-83.90947,9/3/2021,NA,5-1 cm,364.385,63.685,114.527,998.381,57.284,NA,0,NA
S00142,VANO,41.48047,-83.91028,9/3/2021,NA,Some photos of ditch near this wetland,236.028,30.321,79.523,1100.993,100.492,NA,1,m3_al_mgkg_ATT_flag
S00143,VANO,41.48047,-83.91028,9/3/2021,NA,"5-1 cm, other sample at this location is -5 cm",710.562,64.973,397.123,576.752,23.23,NA,1,tn_mgkg_RNG_flag
S00144,VANO,41.48047,-83.91028,9/3/2021,NA,-5 cm,691.621,42.753,274.787,584.254,39.54,NA,1,tn_mgkg_RNG_flag
S00145,VANO,41.48047,-83.91028,9/3/2021,NA,5-1 cm,578.854,49.27,240.42,598.149,32.716,NA,1,tn_mgkg_RNG_flag
S00146,VANO,41.48047,-83.91028,9/3/2021,NA,-5 cm,681.298,39.086,210.558,584.449,39.674,NA,1,tn_mgkg_RNG_flag
S00147,VANO,41.48047,-83.91028,9/3/2021,NA,5-1 cm,1227.886,58.011,321.318,572.332,25.488,NA,1,tp_mgkg_RNG_flag
S00149,OOPR,41.58086,-83.8674,9/15/2021 14:46,NA,NA,822.071,213.911,158.752,1112.178,-77.429,NA,0,NA
S00150,OOPR,41.58086,-83.8674,9/15/2021 14:52,NA,NA,626.617,120.883,33.299,1482.047,51.121,NA,1,m3_fe_mgkg_RNG_flag
S00151,OOPR,41.58027,-83.86789,9/15/2021 15:10,NA,NA,443.384,89.927,81.752,967.633,25.697,NA,0,NA
S00153,OOPR,41.57916,-83.86853,9/15/2021 15:36,NA,NA,881.21,115.325,246.154,1091.566,23.63,NA,1,tp_mgkg_ATT_flag
S00154,OOPR,41.58026,-83.86909,9/15/2021 15:47,NA,NA,855.553,75.526,142.669,91.086,-57.171,NA,1,tp_mgkg_ATT_flag
S00155,OOPR,41.58026,-83.86909,9/15/2021 15:49,NA,NA,422.294,86.813,86.319,1220.28,58.071,NA,0,NA
S00156,OOPR,41.58016,-83.86981,9/15/2021 15:59,NA,Lighter color soil,911.274,89.368,237.741,716.171,6.019,NA,0,NA
S00157,OOPR,41.58038,-83.87148,9/15/2021 16:07,NA,Lighter color soil,686.796,134.884,156.474,1113.309,1.603,NA,0,NA
S00158,OOPR,41.57966,-83.87139,9/15/2021 16:27,NA,Very light color very sandy,396.083,70.153,120.502,875.458,37.034,NA,0,NA
S00159,OOPR,41.57966,-83.87139,9/15/2021 16:36,NA,Intermediate color,1178.585,173.013,353.129,753.809,-66.916,NA,1,tp_mgkg_ATT_flag
S00160,OOPR,41.57878,-83.87139,9/15/2021 16:47,NA,Lightest color soil,538.86,34.467,135.058,1064.263,95.203,NA,0,NA
S00161,OOPR,41.57894,-83.87221,9/15/2021 17:01,NA,NA,456.22,23.635,151.506,1071.408,107.765,NA,1,tp_mgkg_ATT_flag
S00162,OOPR,41.58016,-83.86981,9/15/2021 17:09,NA,No standing water. This area not low. Uncertain whether this is a pool area,512.797,71.391,220.417,881.141,41.979,NA,0,NA
S00163,OOPR,41.58016,-83.86981,9/15/2021 17:11,NA,Darker soil. This may be pool 1 area,366.009,69.243,217.836,892.179,45.251,NA,0,NA
S00165,WEIP,41.42839,-84.40201,12/17/2021 15:08,NA,Pool 1 East side,311.395,8.3,112.476,557.843,61.986,0.116,0,"wex_po4_mgkg-below-detection-limit, wex_nh3_mgkg-below-detection-limit"
S00166,WEIP,41.42839,-84.40201,12/17/2021 15:11,NA,Pool 1 center,389.46,6.2,120.448,629.176,72.668,0.119,0,wex_po4_mgkg-below-detection-limit
S00167,WEIP,41.42839,-84.40201,12/17/2021 15:15,NA,Pool1 west end,403.152,10.7,128.399,642.99,70.247,0.12,0,"wex_po4_mgkg-below-detection-limit, wex_nh3_mgkg-below-detection-limit"
S00168,WEIP,41.42769,-84.40113,12/17/2021 15:19,NA,Pool2 East end,484.632,10.6,131.589,588.141,64.223,0.119,0,wex_po4_mgkg-below-detection-limit
S00169,WEIP,41.42769,-84.40113,12/17/2021 15:21,NA,Pool 2 center,408.67,19,135.195,581.978,55.269,0.125,0,"wex_po4_mgkg-below-detection-limit, wex_nh3_mgkg-below-detection-limit"
S00170,WEIP,41.42769,-84.40113,12/17/2021 15:23,NA,Pool2 west end,551.001,29.7,152.087,614.15,49.275,1.69,0,NA
S00171,WEIP,41.42826,-84.40033,12/17/2021 15:28,NA,Pool 3 East end,619.336,13.6,126.108,605.527,62.946,0.124,1,"wex_nh3_mgkg_ATT_flag, wex_po4_mgkg-below-detection-limit"
S00172,WEIP,41.42826,-84.40033,12/17/2021 15:32,NA,Pool 3 center,548.552,8.8,120.519,539.966,59.849,0.123,0,wex_po4_mgkg-below-detection-limit
S00173,WEIP,41.42826,-84.40033,12/17/2021 15:33,NA,Pool 3 west end,463.098,15.4,119.292,579.701,57.717,0.121,1,"wex_nh3_mgkg_ATT_flag, wex_po4_mgkg-below-detection-limit"
S00174,WEIP,41.42796,-84.3993,12/17/2021 15:37,NA,Pool 5 south end,488.284,34.4,184.536,850.124,73.42,0.123,0,wex_po4_mgkg-below-detection-limit
S00175,WEIP,41.42796,-84.3993,12/17/2021 15:39,NA,Pool 5 center,420.526,30.4,152.18,696.515,57.986,0.123,0,"wex_po4_mgkg-below-detection-limit, wex_nh3_mgkg-below-detection-limit"
S00176,WEIP,41.42796,-84.3993,12/17/2021 15:41,NA,Pool 5 north end,546.924,35.6,136.517,661.314,47.849,0.783,0,NA
S00177,WEIP,41.42861,-84.39887,12/17/2021 15:45,NA,Pool 4 East end,517.862,21.8,136.56,862.651,84.837,0.118,0,wex_po4_mgkg-below-detection-limit
